id;name;job_title;notes;me;relation
1;red;Human Web Architect;Montana;true;Concrete Investment Account Saint Lucia
2;User-centric;Senior Communications Specialist;Salad Web virtual;true;RSS
3;mint green e-business EXE;National Data Liaison;granular Direct contextually-based;true;Jewelery cutting-edge
4;Games;Global Operations Administrator;magenta Concrete;false;Directives
5;sky blue;Customer Assurance Administrator;Tasty Concrete Chips Exclusive;true;card Plastic
6;Computers Personal Loan Account Berkshire;Senior Program Engineer;Investor Public-key;false;Berkshire Designer
7;Credit Card Account;Senior Accounts Coordinator;Re-contextualized;true;Point Orchestrator
8;Solomon Islands Licensed;Internal Marketing Director;magenta Refined Rubber Gloves;true;Clothing
9;open-source turn-key;Direct Directives Representative;disintermediate Cambridgeshire hacking;true;bandwidth azure
10;SMS Enhanced;Dynamic Directives Assistant;Macao Equatorial Guinea Vision-oriented;false;Customer Human deposit
